rank,candidate_id,final_score,professional_band,band_id,subtype,current_title,headline,years_experience,current_company,industry,location,career_titles,current_work_evidence,negative_evidence,risk_flags,open_to_work,last_active_date,response_rate,response_hours,notice_period_days,willing_to_relocate,target_location,reasoning,professional_band_score,current_work_subtype_score,retrieval_search_ranking_score,vector_embedding_hybrid_score,production_ml_system_score,evaluation_maturity_score,python_backend_platform_score,product_shipper_score,experience_fit_score,skill_corroboration_score,behavior_fit_score,logistics_fit_score,near_miss_penalty,coherence_risk_penalty
16,CAND_0041611,191.894000,senior_relevance_owner,5,search_ranking,Staff Machine Learning Engineer,Staff Machine Learning Engineer | Building AI-native search & ranking systems,6.4,Locobuzz,AI/ML,Austin,Staff Machine Learning Engineer | Senior Applied Scientist | Staff Machine Learning Engineer,Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product.,not marked open to work | inactive for 180 days at the fixed reference date,weak:activity_before_signup | weak:skill_duration_overrun,False,2025-12-03,0.070,171.5,30,True,False,"This 6.4-year Staff Machine Learning Engineer built a 50M-query RAG ranking pipeline and calibrated NDCG, MRR, and recall against A/B outcomes. Relative to nearby candidates, not marked open to work and last active 180 days before the fixed reference date.",126.000000,10.000000,20.000000,8.000000,12.000000,12.000000,1.160000,5.000000,8.000000,0.450000,-2.916000,2.650000,10.000000,0.450000
17,CAND_0005538,190.665360,senior_relevance_owner,5,relevance_ownership,Senior AI Engineer,Senior Engineer | 5.9+ yrs in production systems,5.9,Adobe,Software,"Kolkata, West Bengal",Senior AI Engineer | Lead AI Engineer | Senior Machine Learning Engineer | Lead AI Engineer,"Most of the technical effort went into the boring-but-essential parts: index refresh, query understanding, ranking calibration, and the dashboards that made the system's behavior legible to product and business teams. | Embeddings assessment 92.9/100",90-day notice period,weak:skill_duration_overrun | weak:repeated_role_description,True,2026-05-17,0.810,28.4,90,False,False,"Senior AI Engineer with 5.9 years at Adobe; led large-scale relevance infrastructure spanning query understanding, ranking calibration, and operations. Main concern: notice period is 90 days and location/relocation fit is weaker.",126.000000,12.000000,13.830720,2.944640,12.000000,2.900000,4.040000,5.000000,8.000000,1.050000,4.000000,-0.650000,0.000000,0.450000
18,CAND_0030468,190.096000,senior_relevance_owner,5,relevance_ownership,Senior Applied Scientist,Senior Engineer | Search & Discovery Infrastructure,5.4,Swiggy,Food Delivery,"Indore, Madhya Pradesh",Senior Applied Scientist | Senior Applied Scientist | Senior Machine Learning Engineer,"Most of the technical effort went into the boring-but-essential parts: index refresh, query understanding, ranking calibration, and the dashboards that made the system's behavior legible to product and business teams. | Sentence Transformers assessment 97.0/100",,weak:skill_duration_overrun | weak:repeated_role_description,True,2026-05-03,0.780,4.7,45,True,False,"Career evidence from this Senior Applied Scientist (5.4 years) led large-scale relevance infrastructure spanning query understanding, ranking calibration, and operations. Availability signals are supportive: open to work, 0.78 response rate, and 45-day notice.",126.000000,12.000000,12.263520,0.452480,12.000000,2.900000,4.680000,5.000000,8.000000,1.650000,4.000000,1.600000,0.000000,0.450000
19,CAND_0006567,189.915920,senior_relevance_owner,5,relevance_ownership,Senior AI Engineer,Senior Engineer | Information Retrieval at scale,7.9,Meta,Internet,"Noida, Uttar Pradesh",Senior AI Engineer | Senior Applied Scientist | Senior ML Engineer — Search & Ranking,Built systems that understand what users are looking for and connect them to the most relevant matches across a large dataset. | scikit-learn assessment 89.9/100,,,True,2026-05-03,0.790,25.5,60,True,True,"At Meta, this Senior AI Engineer owns a production relevance system with explicit evaluation and operational evidence, directly supporting Redrob's intelligence-layer mandate. They are open to work and the recorded notice period is 60 days.",126.000000,12.000000,15.779520,0.320000,7.680000,2.900000,4.186400,5.000000,8.000000,1.800000,4.000000,2.250000,0.000000,0.000000
20,CAND_0092278,187.174000,senior_relevance_owner,5,search_ranking,Senior NLP Engineer,Senior NLP Engineer | Building AI-native search & ranking systems,6.8,Microsoft,Software,"Pune, Maharashtra",Senior NLP Engineer | Senior NLP Engineer | Senior NLP Engineer,"Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. | TensorFlow assessment 66.6/100",not marked open to work | inactive for 206 days at the fixed reference date | 90-day notice period,weak:repeated_role_description,False,2025-11-07,0.070,146.4,90,False,True,"This 6.8-year Senior NLP Engineer shipped a production recommender with behavioral reranking and live A/B evidence. Relative to nearby candidates, not marked open to work and last active 206 days before the fixed reference date.",126.000000,10.000000,20.000000,8.000000,12.000000,12.000000,0.000000,5.000000,8.000000,1.050000,-3.826000,0.950000,12.000000,0.000000
21,CAND_0060072,186.534000,senior_relevance_owner,5,search_ranking,Staff Machine Learning Engineer,"Staff Machine Learning Engineer | LLMs, RAG, Vector Search | ex-Top Tech",5.7,Amazon,Internet,"Indore, Madhya Pradesh",Staff Machine Learning Engineer | Senior Applied Scientist,"Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. | Sentence Transformers assessment 61.7/100",not marked open to work | inactive for 128 days at the fixed reference date | 90-day notice period,weak:activity_before_signup | weak:skill_duration_overrun | weak:repeated_role_description,False,2026-01-24,0.100,143.0,90,True,False,Staff Machine Learning Engineer with 5.7 years at Amazon; shipped a production recommender with behavioral reranking and live A/B evidence. Main concern: not marked open to work and last active 128 days before the fixed reference date.,126.000000,10.000000,18.912000,8.000000,12.000000,9.600000,0.000000,5.000000,8.000000,1.500000,-2.128000,0.550000,10.000000,0.900000
22,CAND_0068811,186.390120,direct_search_ranking,4,semantic_search,Applied ML Engineer,Applied ML Engineer | Applied ML | Building intelligent products,8.0,Freshworks,SaaS,"Pune, Maharashtra",Applied ML Engineer | AI Engineer | Recommendation Systems Engineer | Search Engineer,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Vector Search assessment 52.6/100,,,True,2026-05-21,0.420,26.6,30,True,True,"Career evidence from this Applied ML Engineer (8.0 years) built a 10M-user recommender using embedding similarity, engagement features, and A/B testing. Availability signals are supportive: open to work, 0.42 response rate, and 30-day notice.",102.000000,9.000000,17.925120,8.000000,12.000000,12.000000,4.469000,5.000000,8.000000,1.350000,3.646000,3.000000,0.000000,0.000000
23,CAND_0093547,185.117440,senior_relevance_owner,5,search_ranking,Senior Machine Learning Engineer,Senior Machine Learning Engineer | Building AI-native search & ranking systems,2.9,PhonePe,Fintech,"Coimbatore, Tamil Nadu",Senior Machine Learning Engineer | Senior Machine Learning Engineer | Lead AI Engineer,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration.,not marked open to work,weak:skill_duration_overrun | weak:repeated_role_description,False,2026-04-10,0.750,20.1,60,False,False,"At PhonePe, this Senior Machine Learning Engineer owns a production ranking pipeline with explicit relevance evaluation, directly supporting Redrob's intelligence-layer mandate. The profile records a 0.75 recruiter response rate and 60-day notice; 2.9 years is below the preferred experience band and not marked open to work.",126.000000,10.000000,19.354080,7.184960,6.738400,7.404000,1.360000,4.950000,0.000000,0.900000,3.026000,0.650000,2.000000,0.450000
24,CAND_0061257,184.876080,senior_relevance_owner,5,search_ranking,Staff Machine Learning Engineer,Senior Engineer | 8.0+ yrs in production systems,8.0,LinkedIn,Internet,"Noida, Uttar Pradesh",Staff Machine Learning Engineer | Senior Applied Scientist,"Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users.",,,True,2026-04-16,0.870,49.7,30,False,True,This 8.0-year Staff Machine Learning Engineer owns a production ranking pipeline with explicit relevance evaluation. A 0.87 response rate and 30-day notice make the profile workable for outreach.,126.000000,10.000000,12.199680,0.000000,7.040000,5.000000,4.186400,5.000000,8.000000,0.450000,4.000000,3.000000,0.000000,0.000000
25,CAND_0009024,184.722600,direct_search_ranking,4,semantic_search,Search Engineer,Search Engineer | Applied ML | Building intelligent products,5.2,Google,Internet,"Chennai, Tamil Nadu",Search Engineer | Applied ML Engineer,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | FAISS assessment 81.9/100,,weak:skill_duration_overrun | weak:repeated_role_description,True,2026-04-09,0.460,18.0,30,False,False,"Search Engineer with 5.2 years at Google; built a 10M-user recommender using embedding similarity, engagement features, and A/B testing. Main concern: location/relocation fit is weaker.",102.000000,9.000000,19.653600,8.000000,12.000000,9.600000,4.669000,5.000000,8.000000,1.800000,4.000000,1.450000,0.000000,0.450000
26,CAND_0005649,183.006000,direct_search_ranking,4,semantic_search,Senior Data Scientist,"Senior Data Scientist | Search, Ranking & Retrieval",7.4,Sarvam AI,AI/ML,"Delhi, Delhi",Senior Data Scientist | Recommendation Systems Engineer | Senior Data Scientist | Search Engineer,Developed a semantic search feature for an internal knowledge base of ~500K documents.,90-day notice period,,True,2026-04-14,0.570,59.1,90,True,True,Career evidence from this Senior Data Scientist (7.4 years) built sentence-transformer/FAISS semantic search and validated relevance beyond keyword BM25. Hiring feasibility is tempered because notice period is 90 days.,102.000000,9.000000,20.000000,8.000000,11.543200,12.000000,0.962800,5.000000,8.000000,1.800000,4.000000,0.700000,0.000000,0.000000
27,CAND_0007411,182.264000,senior_relevance_owner,5,search_ranking,Senior Machine Learning Engineer,Senior Machine Learning Engineer | Production ML at scale | 8.0+ yrs,8.0,Amazon,Internet,"Kochi, Kerala",Senior Machine Learning Engineer | Senior Machine Learning Engineer,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. | Vector Search assessment 91.3/100,not marked open to work | inactive for 181 days at the fixed reference date,,False,2025-12-02,0.120,215.1,15,True,False,"At Amazon, this Senior Machine Learning Engineer owns a production ranking pipeline with explicit relevance evaluation, directly supporting Redrob's intelligence-layer mandate. The profile records a 0.12 recruiter response rate and 15-day notice; not marked open to work and last active 181 days before the fixed reference date.",126.000000,10.000000,17.338080,7.270720,9.435200,8.400000,1.160000,5.000000,8.000000,2.250000,-3.240000,2.650000,12.000000,0.000000
28,CAND_0060054,181.624400,direct_search_ranking,4,semantic_search,AI Engineer,"AI Engineer | ML, NLP, Recommendation Systems",6.4,Mad Street Den,AI/ML,"Jaipur, Rajasthan",AI Engineer | Recommendation Systems Engineer | AI Engineer,Developed a semantic search feature for an internal knowledge base of ~500K documents. | TensorFlow assessment 89.9/100,not marked open to work,,False,2026-03-17,0.860,66.3,15,True,False,"This 6.4-year AI Engineer built sentence-transformer/FAISS semantic search and validated relevance beyond keyword BM25. Relative to nearby candidates, not marked open to work.",102.000000,9.000000,20.000000,8.000000,10.000000,12.000000,1.640400,5.000000,8.000000,2.400000,0.934000,2.650000,0.000000,0.000000
29,CAND_0050454,181.220400,direct_search_ranking,4,semantic_search,AI Engineer,AI Engineer | Applied ML | Building intelligent products,6.8,Rephrase.ai,AI/ML,"Delhi, Delhi",AI Engineer | Machine Learning Engineer | Machine Learning Engineer,Developed a semantic search feature for an internal knowledge base of ~500K documents. | PyTorch assessment 59.0/100,,weak:repeated_role_description,True,2026-04-27,0.770,32.2,30,True,True,AI Engineer with 6.8 years at Rephrase.ai; built sentence-transformer/FAISS semantic search and validated relevance beyond keyword BM25. The profile is open to work with a 0.77 recruiter response rate and 30-day notice.,102.000000,9.000000,20.000000,8.000000,7.680000,12.000000,1.640400,5.000000,8.000000,0.900000,4.000000,3.000000,0.000000,0.000000
30,CAND_0033861,180.605960,senior_relevance_owner,5,applied_ml,Senior NLP Engineer,Senior NLP Engineer | Building AI-native search & ranking systems,8.0,Mad Street Den,AI/ML,"Vizag, Andhra Pradesh",Senior NLP Engineer | Senior NLP Engineer | Senior AI Engineer,"Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. | Weaviate assessment 79.5/100",not marked open to work,,False,2026-02-16,0.160,178.4,30,False,False,Career evidence from this Senior NLP Engineer (8.0 years) has shipped applied-ML work with concrete modeling and production evidence. Hiring feasibility is tempered because not marked open to work and recruiter response rate is only 0.16.,126.000000,4.000000,14.112000,6.480960,12.000000,8.889000,2.000000,5.000000,8.000000,1.500000,-1.576000,1.200000,7.000000,0.000000
31,CAND_0079387,180.099240,direct_search_ranking,4,semantic_search,AI Engineer,AI Engineer | Applied ML | Building intelligent products,6.9,Microsoft,Software,"Trivandrum, Kerala",AI Engineer | NLP Engineer | Applied ML Engineer | AI Engineer,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Sentence Transformers assessment 85.8/100,,,True,2026-04-25,0.810,29.1,30,False,False,"At Microsoft, this AI Engineer built a 10M-user recommender using embedding similarity, engagement features, and A/B testing, directly supporting Redrob's intelligence-layer mandate. The profile records a 0.81 recruiter response rate and 30-day notice; location/relocation fit is weaker.",102.000000,9.000000,15.819840,8.000000,12.000000,9.101000,3.028400,5.000000,8.000000,2.700000,4.000000,1.450000,0.000000,0.000000
32,CAND_0039383,180.040960,direct_search_ranking,4,search_ranking,Applied ML Engineer,Applied ML Engineer | Applied ML | Building intelligent products,7.1,Meesho,E-commerce,"Gurgaon, Haryana",Applied ML Engineer | Machine Learning Engineer | NLP Engineer,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | Hugging Face Transformers assessment 85.8/100,90-day notice period,weak:repeated_role_description,True,2026-03-19,0.610,67.6,90,True,True,"This 7.1-year Applied ML Engineer shipped discovery ranking and analyzed which offline metrics predicted A/B outcomes. Relative to nearby candidates, notice period is 90 days.",102.000000,10.000000,19.291200,6.328960,8.640800,12.000000,0.680000,5.000000,8.000000,3.150000,4.000000,0.950000,0.000000,0.000000
33,CAND_0030953,179.602240,direct_search_ranking,4,search_ranking,Search Engineer,"Search Engineer | ML, NLP, Recommendation Systems",7.8,Nykaa,E-commerce,"Chennai, Tamil Nadu",Search Engineer | NLP Engineer | Applied ML Engineer | Machine Learning Engineer | Machine Learning Engineer,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | Learning to Rank assessment 85.3/100,not marked open to work,weak:repeated_role_description,False,2026-04-11,0.630,62.1,45,False,False,Search Engineer with 7.8 years at Nykaa; shipped discovery ranking and analyzed which offline metrics predicted A/B outcomes. Main concern: not marked open to work and location/relocation fit is weaker.,102.000000,10.000000,20.000000,6.552640,11.543200,12.000000,1.840400,5.000000,8.000000,1.050000,0.966000,0.650000,0.000000,0.000000
34,CAND_0070398,179.486400,direct_search_ranking,4,semantic_search,Machine Learning Engineer,"Machine Learning Engineer | Search, Ranking & Retrieval",7.2,Genpact AI,AI Services,"Kochi, Kerala",Machine Learning Engineer | Applied ML Engineer | Machine Learning Engineer,Developed a semantic search feature for an internal knowledge base of ~500K documents. | BM25 assessment 67.5/100,120-day notice period,weak:repeated_role_description,True,2026-04-14,0.600,67.5,120,True,False,Career evidence from this Machine Learning Engineer (7.2 years) built sentence-transformer/FAISS semantic search and validated relevance beyond keyword BM25. Hiring feasibility is tempered because notice period is 120 days.,102.000000,9.000000,20.000000,8.000000,9.636400,12.000000,0.200000,5.000000,8.000000,2.100000,4.000000,-0.450000,0.000000,0.000000
